LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000155,23/11/2011,0.302,0.4218636363636364,0.961,22,0.24082463397460885,9.281,0.11
MAC000155,24/11/2011,0.222,0.30168750000000005,1.005,48,0.23481637518110077,14.481000000000002,0.083
MAC000155,25/11/2011,0.23249999999999998,0.2851875,0.899,48,0.19253854615457952,13.689,0.08
MAC000155,26/11/2011,0.243,0.33499999999999996,1.025,48,0.24226976348251206,16.08,0.093
MAC000155,27/11/2011,0.3095,0.3345833333333334,0.965,48,0.1834284408367509,16.060000000000002,0.14800000000000002
MAC000155,28/11/2011,0.2205,0.3316874979166667,1.284,48,0.27158362046924156,15.9209999,0.083
MAC000155,29/11/2011,0.20400000000000001,0.2627291666666667,0.9620000000000001,48,0.21510816077809167,12.611,0.057
MAC000155,30/11/2011,0.20600000000000002,0.28339583333333335,1.25,48,0.24519594765865718,13.603,0.095
MAC000155,1/12/2011,0.21649999999999997,0.2457083333333334,0.561,48,0.11999520528246178,11.794000000000002,0.113
MAC000155,2/12/2011,0.208,0.3314375,1.0979999999999999,48,0.2611224467196397,15.908999999999999,0.086
MAC000155,3/12/2011,0.21899999999999997,0.3141666645833333,1.2079999,48,0.23765988964654663,15.079999899999999,0.138
MAC000155,4/12/2011,0.2625,0.30212500000000003,0.985,48,0.23210934923005574,14.502,0.063
MAC000155,5/12/2011,0.175,0.24339583333333328,0.85,48,0.1717610586217529,11.682999999999998,0.089
MAC000155,6/12/2011,0.22149999999999997,0.3148958333333333,1.4240000000000002,48,0.28234679442610117,15.114999999999998,0.087
MAC000155,7/12/2011,0.167,0.25437499999999996,0.9390000000000001,48,0.21270423226991023,12.209999999999997,0.082
MAC000155,8/12/2011,0.1965,0.2646875,1.198,48,0.21712092485672194,12.705000000000002,0.087
MAC000155,9/12/2011,0.20600000000000002,0.2693541666666667,0.6859999999999999,48,0.16787957811546628,12.929,0.10300000000000001
MAC000155,10/12/2011,0.256,0.35210416666666666,1.212,48,0.2705224448613439,16.901,0.11699999999999999
MAC000155,11/12/2011,0.21850000000000003,0.31845833333333334,1.9040000000000001,48,0.3049804289732992,15.286000000000001,0.12
MAC000155,12/12/2011,0.202,0.3212916666666667,1.044,48,0.2577362133534185,15.422,0.105
MAC000155,13/12/2011,0.22699999999999998,0.30802083541666675,1.1210001,48,0.24287064860207755,14.785000100000005,0.079
MAC000155,14/12/2011,0.204,0.3092916666666667,1.175,48,0.25369716897533423,14.846,0.095
MAC000155,15/12/2011,0.235,0.3185833354166666,1.0420001,48,0.19465888392917852,15.292000099999997,0.165
MAC000155,16/12/2011,0.268,0.3297708333333333,1.073,48,0.22430234530635001,15.828999999999999,0.102
MAC000155,17/12/2011,0.3155,0.3878958333333333,1.117,48,0.26375094954620504,18.618999999999996,0.09
MAC000155,18/12/2011,0.342,0.39758333541666685,1.646,48,0.3304791432872467,19.084000100000008,0.08
MAC000155,19/12/2011,0.41600000000000004,0.4732708333333333,1.5819999999999999,48,0.3349410071641599,22.717,0.127
MAC000155,20/12/2011,0.296,0.36433333333333334,1.023,48,0.21451601471073406,17.488,0.16
MAC000155,21/12/2011,0.406,0.4584791666666667,1.247,48,0.2539060799372043,22.007,0.17
MAC000155,22/12/2011,0.3695,0.4546041687500002,1.29,48,0.3010860346558857,21.82100010000001,0.158
MAC000155,23/12/2011,0.47050000000000003,0.5450625020833334,1.357,48,0.27970398250184747,26.163000100000005,0.188
MAC000155,24/12/2011,0.3095,0.3611666666666667,1.2890000000000001,48,0.24510191830055095,17.336000000000002,0.166
MAC000155,25/12/2011,0.3095,0.34650000000000003,1.044,48,0.24722812275477696,16.632,0.078
MAC000155,26/12/2011,0.40650000000000003,0.48595833333333327,1.475,48,0.31115084652107267,23.325999999999997,0.16899999999999998
MAC000155,27/12/2011,0.4145,0.4726249999999999,1.274,48,0.2806179067245497,22.685999999999996,0.175
MAC000155,28/12/2011,0.43,0.46195833333333325,1.23,48,0.2650637786224075,22.173999999999996,0.136
MAC000155,29/12/2011,0.4965,0.4952083333333334,1.329,48,0.28989491554136915,23.770000000000003,0.163
MAC000155,30/12/2011,0.3595,0.4316041666666666,1.189,48,0.3020154103144009,20.717,0.127
MAC000155,31/12/2011,0.39249999999999996,0.42487499999999995,1.374,48,0.2581433401088496,20.394,0.126
MAC000155,1/1/2012,0.3635,0.4756666666666667,1.767,48,0.31679474080454434,22.832,0.17
MAC000155,2/1/2012,0.26649999999999996,0.3450624999999999,1.21,48,0.25078526936362755,16.562999999999995,0.12300000000000001
MAC000155,3/1/2012,0.39149999999999996,0.46652083333333333,1.392,48,0.3119142673797328,22.393,0.13
MAC000155,4/1/2012,0.394,0.41287499999999994,1.276,48,0.26311389209383446,19.817999999999998,0.083
MAC000155,5/1/2012,0.32999999999999996,0.4011666645833334,1.0369999,48,0.23480968026639945,19.255999900000003,0.13699999999999998
MAC000155,6/1/2012,0.22599999999999998,0.3324375,1.0659999999999998,48,0.23489942675853717,15.957,0.088
MAC000155,7/1/2012,0.3855,0.44083333333333324,1.3019999999999998,48,0.29672978848758436,21.159999999999997,0.134
MAC000155,8/1/2012,0.216,0.3082916666666668,0.8140000000000001,48,0.20779551715654168,14.798000000000005,0.094
MAC000155,9/1/2012,0.2955,0.3617708333333333,1.193,48,0.2299470095833213,17.365,0.126
MAC000155,10/1/2012,0.264,0.333791669,1.1210001,48,0.2378269563174901,16.0220001,0.082
MAC000155,11/1/2012,0.2575,0.329541663,1.1799998999999999,48,0.2601353821625141,15.8179998,0.107
